panel,series,t_min,translational_msd_mm2,plateau_mm2,plateau_sd_mm2,tau_d_min,window_start_min,window_end_min
10 C,living worms,0.0333333,5.43299,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.0666667,7.53308,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.1,9.08233,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.133333,10.1779,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.166667,11.1187,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.2,11.9141,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.233333,12.5356,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.266667,12.9453,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.3,13.3689,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.333333,13.7005,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.366667,14.0381,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.4,14.2582,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.433333,14.4223,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.466667,14.5507,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.5,14.6956,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.533333,14.8418,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.566667,15.0019,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.6,15.2654,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.633333,15.3886,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.666667,15.4233,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.7,15.489,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.733333,15.7019,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.766667,15.7269,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.8,15.8582,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.833333,15.8517,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.866667,15.8145,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.9,15.7972,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.933333,15.8298,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,0.966667,15.9412,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,1,16.0203,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,1.03333,15.936,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,1.06667,15.8509,15.8758,0.0793519,0.947088,0.8,1
10 C,living worms,1.1,15.9139,15.8758,0.0793519,0.947088,0.8,1
